LabelName,DisplayName,ChineseName
/m/0mkg,Accordion,手风琴
/m/03m3vtv,Adhesive tape,胶带
/m/0k5j,Aircraft,飞机
/m/046dlr,Alarm clock,闹钟
/m/0pcr,Alpaca,羊驼
/m/012n7d,Ambulance,救护车
/m/0jbk,Animal,动物
/m/0_k2,Ant,蚂蚁
/m/0czz2,Antelope,羚羊
/m/014j1m,Apple,苹果
/m/0xfy,Armadillo,阿玛迪略
/m/047v4b,Artichoke,朝鲜蓟
/m/08dz3q,Auto part,汽车零部件
/m/0c2jj,Axe,斧头
/m/01940j,Backpack,背包
/m/01fb_0,Bagel,巴格尔
/m/052lwg6,Baked goods,烘焙食品
/m/0l3ms,Balance beam,平衡梁
/m/018xm,Ball (Object),球（对象）
/m/01j51,Balloon,气球
/m/09qck,Banana,香蕉
/m/0j496,Band-aid,权宜之计
/m/018j2,Banjo,班卓
/m/01btn,Barge,驳船
/m/02zn6n,Barrel,桶
/m/03g8mr,Baseball bat,棒球棒
/m/03grzl,Baseball glove,棒球手套
/m/01h44,Bat (Animal),蝙蝠（动物）
/m/0h8nr_l,Bathroom accessory,卫浴配件
/m/04y4h8h,Bathroom cabinet,浴室柜
/m/03dnzn,Bathtub,浴盆
/m/0d20w4,Beaker,烧杯
/m/01dws,Bear,熊
/m/015h_t,Beard,胡须
/m/03ssj5,Bed,床
/m/01h3n,Bee,蜜蜂
/m/01gllr,Beehive,蜂巢
/m/01599,Beer,啤酒
/m/020jm,Beetle,甲虫
/m/0jg57,Bell pepper,甜椒
/m/0176mf,Belt,皮带
/m/0cvnqh,Bench,长凳
/m/0199g,Bicycle,自行车
/m/03p3bw,Bicycle helmet,自行车头盔
/m/01bqk0,Bicycle wheel,自行车车轮
/m/01vbnl,Bidet,毕德牌手表
/m/01knjb,Billboard,广告牌
/m/04p0qw,Billiard table,台球桌
/m/0lt4_,Binoculars,双筒望远镜
/m/015p6,Bird,鸟
/m/02pjr4,Blender,搅拌机
/m/01f8m5,Blue jay,冠蓝鸦
/m/019jd,Boat,船
/m/0ct4f,Bomb,炸弹
/m/0bt_c3,Book,书
/m/03__z0,Bookcase,书架
/m/01b638,Boot,靴子
/m/04dr76w,Bottle,瓶子
/m/04f5ws,Bottle opener,开瓶器
/m/01g3x7,Bow and arrow,弓箭
/m/04kkgm,Bowl,碗
/m/07pj7bq,Bowling equipment,保龄球设备
/m/025dyy,Box,盒
/m/01bl7v,Boy,男孩
/m/01gmv2,Brassiere,Brassiere公司
/m/09728,Bread,面包
/m/0584n8,Briefcase,公文包
/m/0hkxq,Broccoli,西兰花
/m/01yx86,Bronze sculpture,青铜雕塑
/m/01dxs,Brown bear,棕熊
/m/0cgh4,Building,建筑物
/m/0cnyhnx,Bull,公牛
/m/01j3zr,Burrito,伯里托
/m/01bjv,Bus,公共汽车
/m/04yqq2,Bust,打破
/m/0cyf8,Butterfly,蝴蝶
/m/0fbw6,Cabbage,甘蓝
/m/01s105,Cabinetry,橱柜
/m/0fszt,Cake,糕饼
/m/0h8n6ft,Cake stand,蛋糕架
/m/024d2,Calculator,计算器
/m/01x_v,Camel,骆驼
/m/0dv5r,Camera,照相机
/m/02mqfb,Can opener,开瓶器
/m/0ccs93,Canary,金丝雀
/m/0c06p,Candle,蜡烛
/m/0gm28,Candy,糖果
/m/020kz,Cannon,大炮
/m/0ph39,Canoe,皮划艇
/m/0kpt_,Cantaloupe,甜瓜
/m/0k4j,Car,汽车
/m/01lrl,Carnivore,食肉动物
/m/0fj52s,Carrot,胡萝卜
/m/018p4k,Cart,运货马车
/m/01432t,Cassette deck,卡座
/m/0d5gx,Castle,城堡
/m/01yrx,Cat,猫
/m/0h8nm9j,Cat furniture,猫家具
/m/0cydv,Caterpillar,毛虫
/m/01xq0k1,Cattle,牛
/m/03ldnb,Ceiling fan,吊扇
/m/01xqw,Cello,大提琴
/m/019h78,Centipede,蜈蚣
/m/01j4z9,Chainsaw,电锯
